"individual"
0.463953
0.5219477
0.5039433
0.4164676
0.4981058
0.5329392
0.5665793
0.5483646
0.6338439
0.1435815
0.3358171
0.4303465
0.09696409
0.2029987
0.5238992
0.09
0.3444867
0.5683686
0.3487718
0
